data,player,language,publishedAt,short,sentiment
"ademas de messi y angel di maria, maximos referentes, son los arqueros emiliano 'dibu' martinez, geronimo rulli y franco armani; los defensores nahuel molina, gonzalo montiel, german pezzella, nicolas otamendi, cristian 'cuti' romero, lisandro martinez, juan foyth, nicolas tagliafico y marcos acuna; los volantes rodrigo de paul, leandro paredes, enzo fernandez, guido rodriguez, alexis mac allister, palacios, alejandro 'papu' gomez y thiago almada; y los delanteros lautaro martinez, angel correa, paulo dybala y julian alvarez",palacios,es,2023-02-27T17:57:53Z,"ademas de messi y angel di maria, maximos referentes, son los arqueros emiliano 'dibu' martinez, geronimo rulli y franco armani; los defensores nahuel molina, gonzalo montiel, german pezzella, nicolas otamendi, cristian 'cuti' romero, lisandro martinez, juan foyth, nicolas tagliafico y marcos acuna; los volantes rodrigo de paul, leandro paredes, enzo fernandez, guido rodriguez, alexis mac allister, palacios, alejandro 'papu' gomez y thiago almada; y los delanteros lautaro martinez, angel correa, paulo dybala y julian alvarez",4
"ademas de messi y angel di maria, maximos referentes, los campeones son los arqueros emiliano 'dibu' martinez, geronimo rulli y franco armani; los defensores nahuel molina, gonzalo montiel, german pezzella, nicolas otamendi, cristian 'cuti' romero, lisandro martinez, juan foyth, nicolas tagliafico y marcos acuna; los volantes rodrigo de paul, leandro paredes, enzo fernandez, guido rodriguez, alexis mac allister, palacios, alejandro 'papu' gomez y thiago almada; y los delanteros lautaro martinez, angel correa, paulo dybala y julian alvarez",palacios,es,2023-02-27T21:15:17Z,"ademas de messi y angel di maria, maximos referentes, los campeones son los arqueros emiliano 'dibu' martinez, geronimo rulli y franco armani; los defensores nahuel molina, gonzalo montiel, german pezzella, nicolas otamendi, cristian 'cuti' romero, lisandro martinez, juan foyth, nicolas tagliafico y marcos acuna; los volantes rodrigo de paul, leandro paredes, enzo fernandez, guido rodriguez, alexis mac allister, palacios, alejandro 'papu' gomez y thiago almada; y los delanteros lautaro martinez, angel correa, paulo dybala y julian alvarez",4
"villa), juan foyth (villarreal), gonzalo montiel (sevilla) nehuen perez (udinese), german pezzella (betis), christian romero (tottenham), nicolas otamendi (benfica), marcos acuna (sevilla), lautaro blanco (elche), leandro paredes (juventus), guido rodriguez (betis), enzo fernandez (chelsea), maximo perrone (city), palacios (bayerleverkusen lev.), rodrigo de paul (at",palacios,es,2023-03-03T14:22:01Z,"villa), juan foyth (villarreal), gonzalo montiel (sevilla) nehuen perez (udinese), german pezzella (betis), christian romero (tottenham), nicolas otamendi (benfica), marcos acuna (sevilla), lautaro blanco (elche), leandro paredes (juventus), guido rodriguez (betis), enzo fernandez (chelsea), maximo perrone (city), palacios (bayerleverkusen lev",3
"(ap photo/frank augstein)  - centrocampistas: rodrigo de paul (atletico de madrid, esp), leandro paredes (juventus, ita), guido rodriguez (betis, esp), alejandro \'papu\' gomez (sevilla, esp), alexis mac allister (brighton, gbr), palacios (bayerleverkusen, ger), enzo fernandez (chelsea, gbr), maximo perrone (manchester city, gbr), facundo buonanotte (brighton, gbr), giovani lo celso (villarreal, esp), thiago almada (atlanta united, usa), valentin carboni (inter milan, ita)",palacios,es,2023-03-03T15:08:24Z,"(ap photo/frank augstein)  - centrocampistas: rodrigo de paul (atletico de madrid, esp), leandro paredes (juventus, ita), guido rodriguez (betis, esp), alejandro \'papu\' gomez (sevilla, esp), alexis mac allister (brighton, gbr), palacios (bayerleverkusen, ger), enzo fernandez (chelsea, gbr), maximo perrone (manchester city, gbr), facundo buonanotte (brighton, gbr), giovani lo celso (villarreal, esp), thiago almada (atlanta united, usa), valentin carboni (inter milan, ita)",3
"anuncio el viernes la nomina de convocados para los proximos  perrone (manchester city, inglaterra), palacios  (bayerleverkusen, alemania), rodrigo de paul (atletico de madrid), ",palacios,es,2023-03-03T15:11:05Z,"anuncio el viernes la nomina de convocados para los proximos  perrone (manchester city, inglaterra), palacios  (bayerleverkusen, alemania), rodrigo de paul (atletico de madrid),",1
":  mediocampistas: rodrigo de paul (atletico madrid, esp), leandro paredes (juventus, ita), guido rodriguez (real betis, esp), alejandro gomez (sevilla, esp), alexis mac allister (brighton, ing), palacios (bayerleverkusen, ale), enzo fernandez (chelsea, ing), maximo perrone (manchester city, ing), facundo buonanotte (brighton, ing), giovani lo celso (villarreal, esp), thiago almada (atlanta united, usa), valentin carboni (inter, ita)",palacios,es,2023-03-03T15:17:00Z,":  mediocampistas: rodrigo de paul (atletico madrid, esp), leandro paredes (juventus, ita), guido rodriguez (real betis, esp), alejandro gomez (sevilla, esp), alexis mac allister (brighton, ing), palacios (bayerleverkusen, ale), enzo fernandez (chelsea, ing), maximo perrone (manchester city, ing), facundo buonanotte (brighton, ing), giovani lo celso (villarreal, esp), thiago almada (atlanta united, usa), valentin carboni (inter, ita)",3
" leandro paredes (juventus, italia), guido rodriguez (betis, espana), enzo fernandez (chelsea, inglaterra), maximiliano perrone (manchester city, inglaterra), palacios (bayerleverkusen, alemania), rodrigo de paul (atletico de madrid, espana), facundo buonanotte (brighton, inglaterra), thiago almada (atlanta united, eeuu), giovani lo celso (villarreal, espana), alexis mac allister (brighton, inglaterra), angel di maria (juventus, italia), angel correa (atletico de madrid, espana), emiliano buendia (aston villa, inglaterra) y valentin carboni (inter, italia)",palacios,es,2023-03-03T16:21:01Z,"leandro paredes (juventus, italia), guido rodriguez (betis, espana), enzo fernandez (chelsea, inglaterra), maximiliano perrone (manchester city, inglaterra), palacios (bayerleverkusen, alemania), rodrigo de paul (atletico de madrid, espana), facundo buonanotte (brighton, inglaterra), thiago almada (atlanta united, eeuu), giovani lo celso (villarreal, espana), alexis mac allister (brighton, inglaterra), angel di maria (juventus, italia), angel correa (atletico de madrid, espana), emiliano buendia (aston villa, inglaterra) y valentin carboni (inter, italia)",4
"panama y curazao con, como era previsible, los futbolistas campeones en qatar : los arqueros franco armani, geronimo rulli y emiliano ""dibu"" martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian ""cuti"" romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala y alejandro ""papu"" gomez",palacios,es,2023-03-08T15:28:06Z,"panama y curazao con, como era previsible, los futbolistas campeones en qatar : los arqueros franco armani, geronimo rulli y emiliano ""dibu"" martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian ""cuti"" romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala y alejandro ""papu"" gomez",4
"panama y curazao con, como era previsible, los futbolistas campeones en qatar : los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala y alejandro 'papu' gomez",palacios,es,2023-03-11T17:05:53Z,"panama y curazao con, como era previsible, los futbolistas campeones en qatar : los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala y alejandro 'papu' gomez",4
"en tanto, palacios vestira la camiseta de bayerleverkusen en la bundesliga alemana, en visita a werder bremen",palacios,es,2023-03-12T05:49:15Z,"en tanto, palacios vestira la camiseta de bayerleverkusen en la bundesliga alemana, en visita a werder bremen",4
"estos fueron los primeros en ponerse en ventaja a raiz de una desatencion de los dirigidos por\xaxabi alonso.\xala pelota habia quedado dividida en la cancha del bayerleverkusen, sin embargo,\xaexequiel palacios\xapifio al momento de rechazar un balon",palacios,es,2023-03-12T18:51:09Z,"\xala pelota habia quedado dividida en la cancha del bayerleverkusen, sin embargo,\xaexequiel palacios\xapifio al momento de rechazar un balon",1
"panama y curazao con, como era previsible, los futbolistas campeones en qatar : los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala y alejandro 'papu' gomez (no llegara, sevilla no lo autorizo, por estar lesionado)",palacios,es,2023-03-17T13:32:15Z,"panama y curazao con, como era previsible, los futbolistas campeones en qatar : los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala y alejandro 'papu' gomez (no llegara, sevilla no lo autorizo, por estar lesionado)",4
"alberto fernandez  mediocampistas: rodrigo de paul (atletico de madrid), leandro paredes (juventus), alexis mac allister (brighton), guido rodriguez (betis), palacios (bayerleverkusen), thiago almada (atlanta united), maximo perrone (manchester city), facundo buonanotte (brighton), giovani lo celso (villarreal), emiliano buendia (aston villa), valentin carboni (inter) y enzo fernandez",palacios,es,2023-03-19T14:52:49Z,"alberto fernandez  mediocampistas: rodrigo de paul (atletico de madrid), leandro paredes (juventus), alexis mac allister (brighton), guido rodriguez (betis), palacios (bayerleverkusen), thiago almada (atlanta united), maximo perrone (manchester city), facundo buonanotte (brighton), giovani lo celso (villarreal), emiliano buendia (aston villa), valentin carboni (inter) y enzo fernandez",3
"adli, en pugna con sommer efe/epa/ronald wittek  palacios fue el encargado de transformar ambas penas maximas y no fallo",palacios,es,2023-03-19T18:14:06Z,"adli, en pugna con sommer efe/epa/ronald wittek  palacios fue el encargado de transformar ambas penas maximas y no fallo",5
palacios celebra su segundo gol ante el bayern (photo by dean mouhtaropoulos/getty images)  imma mentruit  el borussia dortmund acaba como lider la jornada de la bundesliga gracias a la victoria del bayerleverkusen de alonso contra el bayern,palacios,es,2023-03-19T18:29:52Z,palacios celebra su segundo gol ante el bayern (photo by dean mouhtaropoulos/getty images)  imma mentruit  el borussia dortmund acaba como lider la jornada de la bundesliga gracias a la victoria del bayerleverkusen de alonso contra el bayern,4
"a pesar de la ventaja, los visitantes no mostraron una superioridad absoluta sobre sus rivales.en el segundo tiempo la remontada del bayerleverkusen la\xaabandero el argentino palacios, reciente campeon del mundo con su pais en el mundial qatar .los dos tantos de palacios llegaron desde el punto penal",palacios,es,2023-03-19T19:04:34Z,"en el segundo tiempo la remontada del bayerleverkusen la\xaabandero el argentino palacios, reciente campeon del mundo con su pais en el mundial qatar",1
" concediendo dos penales por faltas de benjamin pavard (minuto ) y dayot upamecano (), transformados por el argentino palacios, el bayern concedio su tercera derrota de la temporada tras caer en augsburgo a mediados de septiembre (-) y en monchengladbach (-) en febrero",palacios,es,2023-03-19T19:10:46Z,"concediendo dos penales por faltas de benjamin pavard (minuto ) y dayot upamecano (), transformados por el argentino palacios, el bayern concedio su tercera derrota de la temporada tras caer en augsburgo a mediados de septiembre (-) y en monchengladbach (-) en febrero",1
" concediendo dos penales por faltas de benjamin pavard (minuto ) y dayot upamecano (), transformados por palacios, el bayern concedio su tercera derrota de la temporada tras caer en augsburgo a mediados de septiembre (-) y en monchengladbach (-) en febrero",palacios,es,2023-03-19T19:40:48Z,"concediendo dos penales por faltas de benjamin pavard (minuto ) y dayot upamecano (), transformados por palacios, el bayern concedio su tercera derrota de la temporada tras caer en augsburgo a mediados de septiembre (-) y en monchengladbach (-) en febrero",1
 palacios marco este domingo dos goles ante bayern munich en alemania,palacios,es,2023-03-19T20:19:09Z,palacios marco este domingo dos goles ante bayern munich en alemania,1
el argentino palacios facturo ambos penas maximas para una victoria que dejo al borussia dortmund en lo mas alto de la bundesliga,palacios,es,2023-03-19T21:50:51Z,el argentino palacios facturo ambos penas maximas para una victoria que dejo al borussia dortmund en lo mas alto de la bundesliga,5
"en alemania, el tambien campeon del mundo palacios castigo al bayern munich con dos tantos de penal para asegurar el triunfo del bayerleverkusen (-)",palacios,es,2023-03-19T22:50:56Z,"en alemania, el tambien campeon del mundo palacios castigo al bayern munich con dos tantos de penal para asegurar el triunfo del bayerleverkusen (-)",1
 - palacios castiga al bayern munich -  bayerleverkusen vino desde atras para vencer al bayern munich (-) y dar la sorpresa de la jornada en la bundesliga,palacios,es,2023-03-19T23:20:43Z,- palacios castiga al bayern munich -  bayerleverkusen vino desde atras para vencer al bayern munich (-) y dar la sorpresa de la jornada en la bundesliga,4
"panama y curazao con, como era previsible, los futbolistas campeones en qatar : los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala y alejandro 'papu' gomez, quien se ausentara porque se esta recuperando de una lesion en uno de sus tobillos que sufrio en la copa del mundo y sevilla no lo autorizo a viajar",palacios,es,2023-03-20T12:33:21Z,"panama y curazao con, como era previsible, los futbolistas campeones en qatar : los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala y alejandro 'papu' gomez, quien se ausentara porque se esta recuperando de una lesion en uno de sus tobillos que sufrio en la copa del mundo y sevilla no lo autorizo a viajar",4
"palacios habla con alonso  mourinho luis artus  mientras el real madrid se dejaba media liga en el camp nou tras la derrota ante el barca (-) y ponia en entredicho de nuevo la continuidad de carlo ancelotti al frente del equipo la temporada que viene (la champions dictara sentencia posiblemente), uno de los candidatos que ha sonado con fuerza para sustituirle, alonso, ponia patas arriba la bundesliga con la victoria de su equipo, el bayerleverkusen\xaante el bayern de munich (-), remontando palacios con doblete de penalti el tanto inicial de kimmich y sacando a los bavaros del liderato de la bundesliga en favor del borussia de dortmund",palacios,es,2023-03-20T14:16:34Z,"palacios habla con alonso  mourinho luis artus  mientras el real madrid se dejaba media liga en el camp nou tras la derrota ante el barca (-) y ponia en entredicho de nuevo la continuidad de carlo ancelotti al frente del equipo la temporada que viene (la champions dictara sentencia posiblemente), uno de los candidatos que ha sonado con fuerza para sustituirle, alonso, ponia patas arriba la bundesliga con la victoria de su equipo, el bayerleverkusen\xaante el bayern de munich (-), remontando palacios con doblete de penalti el tanto inicial de kimmich y sacando a los bavaros del liderato de la bundesliga en favor del borussia de dortmund",3
"estan los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala y alejandro 'papu' gomez, que no estara porque esta lesionado y sevilla no lo autorizo a viajar",palacios,es,2023-03-20T15:52:10Z,"estan los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala y alejandro 'papu' gomez, que no estara porque esta lesionado y sevilla no lo autorizo a viajar",4
"estan los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros messi, angel di maria, lautaro martinez, julian alvarez, angel correa y paulo dybala",palacios,es,2023-03-20T16:51:04Z,"estan los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros messi, angel di maria, lautaro martinez, julian alvarez, angel correa y paulo dybala",4
"palacios y alonso  manuel bruna  jefe de seccion  palacios, de anos, fue el gran protagonista de este pasado fin de semana en la bundesliga",palacios,es,2023-03-21T11:06:02Z,"palacios y alonso  manuel bruna  jefe de seccion  palacios, de anos, fue el gran protagonista de este pasado fin de semana en la bundesliga",4
redaccion  \xaexequiel palacios\xacon doblete de penalti el tanto inicial de\xakimmich\xay sacando a los bavaros del liderato de la bundesliga en favor del\xaborussia de dortmund,palacios,es,2023-03-21T16:55:04Z,redaccion  \xaexequiel palacios\xacon doblete de penalti el tanto inicial de\xakimmich\xay sacando a los bavaros del liderato de la bundesliga en favor del\xaborussia de dortmund,1
"scaloni tiene jugadores a disposicion, entre ellos a campeones del mundo: los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros messi, angel di maria, lautaro martinez, julian alvarez, angel correa y paulo dybala",palacios,es,2023-03-22T19:00:01Z,"scaloni tiene jugadores a disposicion, entre ellos a campeones del mundo: los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros messi, angel di maria, lautaro martinez, julian alvarez, angel correa y paulo dybala",4
"otros que incluso podrian enfrentar al millonario e hicieron inferiores en la institucion son german pezzella, gonzalo montiel, guido rodriguez, palacios y giovanni simeone",palacios,es,2023-03-23T15:32:16Z,"otros que incluso podrian enfrentar al millonario e hicieron inferiores en la institucion son german pezzella, gonzalo montiel, guido rodriguez, palacios y giovanni simeone",1
"el equipo entrenado por julian nagelsmann vio como palacios le remontaba el - de kimmich para dejarlos sin victoria ni el primer puesto, ahora en manos del borussia dortmund",palacios,es,2023-03-23T17:09:49Z,"el equipo entrenado por julian nagelsmann vio como palacios le remontaba el - de kimmich para dejarlos sin victoria ni el primer puesto, ahora en manos del borussia dortmund",2
"no lo hicieron franco armani, geronimo rulli, german pezzella, juan foyth, gonzalo montiel, guido rodriguez, giovani lo celso, palacios y angel correa",palacios,es,2023-03-24T01:55:28Z,"no lo hicieron franco armani, geronimo rulli, german pezzella, juan foyth, gonzalo montiel, guido rodriguez, giovani lo celso, palacios y angel correa",1
"estan los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala",palacios,es,2023-03-24T02:00:28Z,"estan los arqueros franco armani, geronimo rulli y emiliano 'dibu' martinez; los defensores juan foyth, gonzalo montiel, nahuel molina, nicolas otamendi, cristian 'cuti' romero, german pezzella, nicolas tagliafico, lisandro martinez, marcos acuna; los mediocampistas leandro paredes, guido rodriguez, enzo fernandez, palacios, rodrigo de paul, thiago almada y alexis mac allister; y los delanteros lionel messi, angel di maria, lautaro martinez, julian alvarez, angel correa, paulo dybala",4
" geronimo rulli; gonzalo montiel, german pezzella, lisandro martinez, marcos acuna; giovani lo celso, guido rodriguez, palacios; nicolas gonzalez, giovanni simeone y paulo dybala fueron los once iniciales que dispuso scaloni, quien fue el gestor de la invitacion a river a traves de la calida relacion que conserva con demichelis",palacios,es,2023-03-24T22:18:06Z,"geronimo rulli; gonzalo montiel, german pezzella, lisandro martinez, marcos acuna; giovani lo celso, guido rodriguez, palacios; nicolas gonzalez, giovanni simeone y paulo dybala fueron los once iniciales que dispuso scaloni, quien fue el gestor de la invitacion a river a traves de la calida relacion que conserva con demichelis",4
"lo celso fue titular en el amistoso ante river plate  argentina formo con geronimo rulli; gonzalo montiel, german pezzella, lisandro martinez, marcos acuna; giovani lo celso, guido rodriguez, palacios; nicolas gonzalez, giovanni simeone y paulo dybala",palacios,es,2023-03-25T07:29:38Z,"lo celso fue titular en el amistoso ante river plate  argentina formo con geronimo rulli; gonzalo montiel, german pezzella, lisandro martinez, marcos acuna; giovani lo celso, guido rodriguez, palacios; nicolas gonzalez, giovanni simeone y paulo dybala",4
"bayern viene de resignar el primer puesto de la bundesliga tras perder ante bayerleverkusen (dos goles de penal de palacios) y tendra la posibilidad de recuperarlo el proximo sabado, cuando recibira al nuevo lider, borussia dortmund",palacios,es,2023-03-26T12:27:35Z,"bayern viene de resignar el primer puesto de la bundesliga tras perder ante bayerleverkusen (dos goles de penal de palacios) y tendra la posibilidad de recuperarlo el proximo sabado, cuando recibira al nuevo lider, borussia dortmund",1
